,IDX,CQQQ,ASHX,AFTY,QLD,FTXN,PDBC,NANR,GLD
2018/1/1,0.056763285,0.063510427,0.059737319,0.139384179,0.178371799,0.012969848,0.031518566,0.033728117,0.032349373
2018/2/1,-0.043047581,-0.035675554,-0.04577123,-0.092721739,-0.034255386,-0.093457944,-0.033333333,-0.089098624,-0.020759906
2018/3/1,-0.055732561,-0.037799551,-0.054819019,-0.023076922,-0.086878374,0.039690722,0.021264368,0.005989847,0.006320008
2018/4/1,-0.056913915,-0.043798044,-0.023881729,-0.047806578,0.002624725,0.133862221,0.037141249,0.046740101,-0.009539749
2018/5/1,0.017434018,0.034265716,0.013106845,-0.005020732,0.112696387,0.083078221,0.022246337,0.028157053,-0.011959211
2018/6/1,-0.084797891,-0.059837745,-0.092477236,-0.094093149,0.017056769,-0.000807428,-0.020169904,0.007192199,-0.03614944
2018/7/1,0.030724868,-0.034519922,-0.017423442,0.004521625,0.050427944,0.015757535,-0.02491869,-0.011535238,-0.022418912
2018/8/1,-0.012575594,-0.080074468,-0.059645402,-0.041033336,0.117815415,-0.006205251,0.008888889,-0.064990299,-0.021381119
2018/9/1,-0.017924575,-0.027327995,0.034285714,0.044489796,-0.008274193,0.002241515,0.033590308,0.019286142,-0.006607347
2018/10/1,-0.048991402,-0.15067634,-0.083977901,-0.068320959,-0.177493087,-0.14696485,-0.0548748,-0.089504347,0.021195459
2018/11/1,0.116666774,0.077677014,-0.000603136,-0.008039147,-0.011713562,-0.075374575,-0.107384442,0.004482901,0.003386878
2018/12/1,-0.015829986,-0.104820396,-0.041701871,-0.076109937,-0.179007731,-0.169620253,-0.048310704,-0.07618747,0.049420105
2019/1/1,0.107536765,0.140462361,0.103973865,0.141418764,0.178300272,0.13902439,0.072992701,0.094927571,0.028865979
2019/2/1,-0.067219917,0.061469886,0.116314825,0.080593424,0.05620821,-0.01231258,0.02906611,0.010053197,-0.0060922
2019/3/1,0.004893238,0.030423856,0.051152333,0.038157143,0.075460365,0.025474199,-0.001802765,0.016848706,-0.015968998
2019/4/1,0.020805622,0.041132151,0,0.052004465,0.108417658,-0.02589852,0.012040818,-0.010432648,-0.006638841
2019/5/1,-0.043365136,-0.173674962,-0.090909042,-0.09218573,-0.164626846,-0.101139447,-0.060083228,-0.086511659,0.017574299
2019/6/1,0.048504082,0.073372734,0.071711173,0.087075786,0.152996381,0.052155016,0.036076013,0.104209101,0.080029148
2019/7/1,-0.008646736,-0.014773937,-0.002045806,-0.001147464,0.043120465,-0.039013196,-0.00855229,-0.014755611,7.51502E-05
2019/8/1,-0.020497209,0.013428805,-0.0288,-0.042394356,-0.047129306,-0.092537313,-0.048675293,-0.022152856,0.079123132
2019/9/1,-0.033837847,0.010600685,-0.005354201,0.005458908,0.013622592,0.057894737,0.011658031,0.001850702,-0.033947861
2019/10/1,0.027188939,0.04414338,0.030020704,0.0356184,0.084358479,-0.027985075,0.017925736,-0.012357506,0.025635473
2019/11/1,-0.023328891,0.044997929,-0.006532663,-0.012559108,0.080369911,0.008957134,-0.001257862,0.016446308,-0.032085882
2019/12/1,0.039044603,0.053074344,0.062721295,0.016627772,0.075626544,0.045656309,0.042821096,0.070431536,0.036558777
2020/1/1,-0.061892217,-0.011601388,-0.093764826,-0.11850784,0.056198244,-0.114129776,-0.086352602,-0.072969824,0.044996559
2020/2/1,-0.113100806,0.042716913,0.077783557,0.050520833,-0.117756746,-0.156968784,-0.064771976,-0.103075612,-0.006361729
2020/3/1,-0.323060574,-0.116442113,-0.07704298,-0.074615766,-0.211304807,-0.342427933,-0.164664311,-0.220788471,-0.002224033
2020/4/1,0.131868132,0.082497931,0.049049522,0.048285561,0.305871891,0.392442578,-0.028764805,0.296889236,0.072610603
2020/5/1,0.081137309,0.04958518,0.001308622,0.006196895,0.123867289,0.001951046,0.074912892,0.004620847,0.025881618
2020/6/1,0.037844772,0.166911722,0.102287007,0.064952444,0.123374184,-0.043193486,0.048622366,0.021031529,0.027377023
2020/7/1,0.05747843,0.089319502,0.134154127,0.112204131,0.148892866,-0.001850139,0.047913447,0.041574966,0.107904634
2020/8/1,0.033313791,0.025451944,0.058218077,0.051835913,0.227722877,0.028266914,0.047935103,0.021492984,-0.003235674
2020/9/1,-0.0989819,-0.024679169,-0.035904255,-0.013811028,-0.120103701,-0.159981974,-0.038001407,-0.077278634,-0.041714045
2020/10/1,0.03954796,0.076055432,0.035862069,0.047904501,-0.06710313,-0.017703863,-0.032187271,-0.024694385,-0.005194207
2020/11/1,0.184178876,0.040714849,0.056876584,0.074267679,0.22584793,0.2310213,0.095993953,0.162189377,-0.054086261
2020/12/1,0.050484393,0.06300846,0.066882611,0.053709144,0.098273087,0.031233363,0.052413793,0.023794808,0.070138616
2021/1/1,-0.033980583,0.123891616,0.033133174,0.047050623,0.002258726,0.103854758,0.032110092,0.000301781,-0.03223817
2021/2/1,0.004020101,0.015346353,-0.004964108,0.001913955,-0.007194262,0.16688752,0.103492,0.1113459,-0.062568814
2021/3/1,-0.041041041,-0.133049499,-0.065905245,-0.063953447,0.02313604,0.038744155,-0.008342808,0.04507195,-0.011433107
2021/4/1,-0.003653445,0.013628005,0.038369678,0.010470186,0.118440189,-0.000321543,0.080939827,0.048895815,0.035633888
2021/5/1,-0.026715558,-0.021438918,0.065240931,0.080567311,-0.02815297,0.094242522,0.039184221,0.076736323,0.076783778
2021/6/1,-0.02852535,0.042208144,-0.021283386,-0.059079273,0.127492528,0.074074074,0.037706558,-0.043018241,-0.071476621
2021/7/1,-0.008310194,-0.142636525,-0.061473517,-0.131148206,0.055563363,-0.10180624,0.013937332,-0.029495122,0.025297361
2021/8/1,0.037988827,-0.017038412,0.009579506,-0.016103429,0.083905023,-0.007312553,-0.016691212,-0.036484754,-0.000765546
2021/9/1,0.017761033,-0.072998874,0.007262015,0.044807082,-0.114289271,0.167587405,0.050923512,0.023907454,-0.032235258
2021/10/1,0.086197832,0.037549423,0.024519571,0.031716867,0.161742538,0.097791746,0.051306416,0.101431002,0.014797181
2021/11/1,-0.030185052,-0.035750945,-0.002688674,-0.024462345,0.03631417,-0.080938605,-0.084048761,-0.031821291,-0.006900654
2021/12/1,-0.003514056,-0.05591851,0.004160426,0.003026373,0.016094007,0.013027618,-0.306364085,0.036163277,0.032990979
2022/1/1,0.000503829,-0.046032528,-0.080212131,-0.055268154,-0.171983807,0.132715991,0.078236131,0.07498303,-0.016787616
2022/2/1,0.036253724,-0.05736462,0.020540541,0.003650005,-0.095509444,0.082198002,0.067282322,0.113717985,0.06121726
2022/3/1,0.029154519,-0.159656312,-0.09879947,-0.083644813,0.078746065,0.111624003,0.090234796,0.101157736,0.01272558
2022/4/1,0.043909396,-0.080085238,-0.097641176,-0.063499063,-0.260289176,-0.033597584,0.057256296,-0.03653909,-0.020702962
2022/5/1,-0.029398551,0.071081247,0.03417273,0.015008888,-0.047556446,0.16171875,0.046112601,0.060286187,-0.032615482
2022/6/1,-0.082478941,0.090791206,0.10278373,0.111742528,-0.182751103,-0.212508406,-0.075345925,-0.169563,-0.015659647
2022/7/1,0.008125901,-0.106817263,-0.065296024,-0.088566655,0.256218305,0.121263877,-0.023281595,0.027834193,-0.02588152
2022/8/1,0.031234207,-0.012203239,-0.044969452,-0.038342678,-0.108612092,0.050266565,-0.014188421,0.013441392,-0.029433284
2022/9/1,-0.05471417,-0.183962219,-0.091529476,-0.077303078,-0.209402614,-0.109862255,-0.068508977,-0.069826429,-0.02888181
2022/10/1,-0.008268682,-0.120286341,-0.094225357,-0.151241535,0.066012057,0.224439928,0.050679852,0.14489409,-0.017844404
2022/11/1,-0.007816571,0.286295441,0.153786407,0.183890578,0.097748204,-0.004324651,0.012941118,0.059707017,0.08491866
2022/12/1,-0.088235289,0.055704231,-0.020035984,0.01758665,-0.183216798,-0.065820281,-0.141695653,-0.062910472,0.029306481
,,,,,,,,,
